Load address: $4200 Init address: $4ED3 Play address: $4EDF
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   130 | 1270 (+ 0010) .. .... 400 | 0F9B (+ 000D) .. .... ... | ....  ... ..  .. .... 940 | 9400 .. ... . |
|   131 | 1280 (+ 0010) .. .... 440 | 0F8E (- 000D) .. .... ... | ....  ... ..  .. .... 8E0 | 9200 .. ... . |
|   132 | 1BA0  G#4 B8  11 .... 100 | 1270  C#4 B1  11 .... 800 | 24E1  C#5 BD  41 .... A00 | .... .. ... . |
|   133 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | 9000 .. ... . |
|   134 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | 8E00 .. ... . |
|   135 | 1BB8 (+ 0018) 10 .... 240 | 1280 (+ 0010) 10 .... ... | ....  ... ..  40 .... 9A0 | 8C00 .. ... . |
|   136 | 1BD0 (+ 0018) .. .... 280 | 1290 (+ 0010) .. .... ... | ....  ... ..  .. .... 940 | 8A00 .. ... . |
|   137 | 1BB8 (- 0018) .. .... 2C0 | 1280 (- 0010) .. .... ... | ....  ... ..  .. .... 8E0 | 8800 .. ... . |
|   138 | 1F03  A#4 BA  11 .... 100 | 0F81  A#3 AE  11 .... 800 | 1F03  A#4 BA  41 .... A00 | .... .. ... . |
|   139 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | 8600 .. ... . |
|   140 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | 8400 .. ... . |
|   141 | 1F1E (+ 001B) 10 .... 240 | 0F8E (+ 000D) 10 .... ... | ....  ... ..  40 .... 9A0 | 8600 .. ... . |
|   142 | 1F39 (+ 001B) .. .... 280 | 0F9B (+ 000D) .. .... ... | ....  ... ..  .. .... 940 | 8800 .. ... . |
|   143 | 1F1E (- 001B) .. .... 2C0 | 0F8E (- 000D) .. .... ... | ....  ... ..  .. .... 8E0 | 8A00 .. ... . |
|   144 | 0938  C#3 A5  11 .... 100 | 14B2  D#4 B3  11 .... 800 | 2965  D#5 BF  41 .... A00 | .... .. ... . |
|   145 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | 8C00 .. ... . |
|   146 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | 8E00 .. ... . |
|   147 | 0940 (+ 0008) 10 .... 240 | 14C4 (+ 0012) 10 .... ... | ....  ... ..  40 .... 9A0 | 9000 .. ... . |
|   148 | 0948 (+ 0008) .. .... 280 | 14D6 (+ 0012) .. .... ... | ....  ... ..  .. .... 940 | 9200 .. ... . |
|   149 | 0940 (- 0008) .. .... 2C0 | 14C4 (- 0012) .. .... ... | ....  ... ..  .. .... 8E0 | 9400 .. ... . |
|   150 | 0F81  A#3 AE  11 .... 100 | 14B2 (- 0012) 40 .... ... | ....  ... ..  .. .... 880 | 9600 .. ... . |
|   151 | ....  ... ..  .. .... 1C0 | 14A0 (- 0012) .. .... ... | ....  ... ..  .. .... 840 | 9800 .. ... . |
|   152 | ....  ... ..  .. .... 200 | 148E (- 0012) .. .... ... | ....  ... ..  .. .... 800 | 9A00 .. ... . |
|   153 | 0F8E (+ 000D) 10 .... 240 | 14A0 (+ 0012) .. .... ... | ....  ... ..  .. .... 7C0 | 9C00 .. ... . |
|   154 | 0F9B (+ 000D) .. .... 280 | 14B2 (+ 0012) .. .... ... | 29F9 (+ 0094) .. .... 780 | 9E00 .. ... . |
|   155 | 0F8E (- 000D) .. .... 2C0 | 14C4 (+ 0012) .. .... ... | 2A8D (+ 0094) .. .... 740 | A000 .. ... . |
|   156 | 14B2  D#4 B3  11 .... 100 | 1270  C#4 B1  11 .... 800 | 24E1  C#5 BD  41 .... A00 | .... .. ... . |
|   157 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | A200 .. ... . |
|   158 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | A400 .. ... . |
|   159 | 14C4 (+ 0012) 10 .... 240 | 1280 (+ 0010) 10 .... ... | ....  ... ..  40 .... 9A0 | A600 .. ... . |
|   160 | 14D6 (+ 0012) .. .... 280 | 1290 (+ 0010) .. .... ... | ....  ... ..  .. .... 940 | A800 .. ... . |
|   161 | 14C4 (- 0012) .. .... 2C0 | 1280 (- 0010) .. .... ... | ....  ... ..  .. .... 8E0 | AA00 .. ... . |
|   162 | 14B2 (- 0012) 40 .... 300 | 0F81  A#3 AE  11 .... 800 | 1F03  A#4 BA  41 .... A00 | .... .. ... . |
|   163 | 14A0 (- 0012) .. .... 340 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | AC00 .. ... . |
|   164 | 148E (- 0012) .. .... 380 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | AE00 .. ... . |
|   165 | 14A0 (+ 0012) .. .... 3C0 | 0F8E (+ 000D) 10 .... ... | ....  ... ..  40 .... 9A0 | B000 .. ... . |
|   166 | 14B2 (+ 0012) .. .... 400 | 0F9B (+ 000D) .. .... ... | ....  ... ..  .. .... 940 | B200 .. ... . |
|   167 | 14C4 (+ 0012) .. .... 440 | 0F8E (- 000D) .. .... ... | ....  ... ..  .. .... 8E0 | B400 .. ... . |
|   168 | 1270  C#4 B1  11 .... 100 | 0DD0  G#3 AC  11 .... 800 | 1BA0  G#4 B8  41 .... A00 | .... .. ... . |
|   169 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | B600 .. ... . |
|   170 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | B800 .. ... . |
|   171 | 1280 (+ 0010) 10 .... 240 | 0DDC (+ 000C) 10 .... ... | ....  ... ..  40 .... 9A0 | BA00 .. ... . |
|   172 | 1290 (+ 0010) .. .... 280 | 0DE8 (+ 000C) .. .... ... | ....  ... ..  .. .... 940 | BC00 .. ... . |
|   173 | 1280 (- 0010) .. .... 2C0 | 0DDC (- 000C) .. .... ... | ....  ... ..  .. .... 8E0 | BE00 .. ... . |
|   174 | 0F81  A#3 AE  11 .... 100 | 0C4E  F#3 AA  11 .... 800 | 189D  F#4 B6  41 .... A00 | .... .. ... . |
|   175 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | C000 .. ... . |
|   176 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | C200 .. ... . |
|   177 | 0F8E (+ 000D) 10 .... 240 | 0C59 (+ 000B) 10 .... ... | ....  ... ..  40 .... 9A0 | C400 .. ... . |
|   178 | 0F9B (+ 000D) .. .... 280 | 0C64 (+ 000B) .. .... ... | ....  ... ..  .. .... 940 | C600 .. ... . |
|   179 | 0F8E (- 000D) .. .... 2C0 | 0C59 (- 000B) .. .... ... | ....  ... ..  .. .... 8E0 | C800 .. ... . |
|   180 | 0DD0  G#3 AC  11 .... 100 | 0A59  D#3 A7  11 .... 800 | 14B2  D#4 B3  41 .... A00 | .... .. ... . |
|   181 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | CA00 .. ... . |
|   182 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | CC00 .. ... . |
|   183 | 0DDC (+ 000C) 10 .... 240 | 0A62 (+ 0009) 10 .... ... | ....  ... ..  40 .... 9A0 | CE00 .. ... . |
|   184 | 0DE8 (+ 000C) .. .... 280 | 0A6B (+ 0009) .. .... ... | ....  ... ..  .. .... 940 | D000 .. ... . |
|   185 | 0DDC (- 000C) .. .... 2C0 | 0A62 (- 0009) .. .... ... | ....  ... ..  .. .... 8E0 | D200 .. ... . |
|   186 | 0C4E  F#3 AA  11 .... 100 | 0DD0  G#3 AC  11 .... 800 | 1BA0  G#4 B8  41 .... A00 | .... .. ... . |
|   187 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | D400 .. ... . |
|   188 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | D600 .. ... . |
|   189 | 0C59 (+ 000B) 10 .... 240 | 0DDC (+ 000C) 10 .... ... | ....  ... ..  40 .... 9A0 | D800 .. ... . |
|   190 | 0C64 (+ 000B) .. .... 280 | 0DE8 (+ 000C) .. .... ... | ....  ... ..  .. .... 940 | DA00 .. ... . |
|   191 | 0C59 (- 000B) .. .... 2C0 | 0DDC (- 000C) .. .... ... | ....  ... ..  .. .... 8E0 | DC00 .. ... . |
|   192 | ....  ... ..  .. .... ... | 14B2  D#4 B3  11 .... 800 | 2965  D#5 BF  41 .... A00 | .... .. ... . |
