Load address: $87E8 Init address: $87E8 Play address: $87F4
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   125 | ....  ... ..  .. .... ... | 2965 (D#5 BF) .. .... ... | 2A43 (+ 004A) .. .... ... | .... .. ... . |
|   126 | ....  ... ..  .. .... ... | 1F03 (A#4 BA) .. .... ... | 29F9 (- 004A) .. .... ... | .... .. ... . |
|   127 | ....  ... ..  .. .... ... | 189D (F#4 B6) .. .... ... | 29AF (- 004A) .. .... ... | .... .. ... . |
|   128 | ....  ... ..  .. .... ... | 14B2 (D#4 B3) .. .... ... | 2965 (- 004A) .. .... ... | .... .. ... . |
|   129 | ....  ... ..  .. .... ... | 2965 (D#5 BF) .. .... ... | 291B (- 004A) .. .... ... | .... .. ... . |
|   130 | ....  ... ..  .. .... ... | 1F03 (A#4 BA) .. .... ... | 28D1 (- 004A) .. .... ... | .... .. ... . |
|   131 | ....  ... ..  .. .... ... | 189D (F#4 B6) .. .... ... | 291B (+ 004A) .. .... ... | .... .. ... . |
|   132 | ....  ... ..  .. .... ... | 14B2 (D#4 B3) .. .... ... | 2965 (+ 004A) .. .... ... | .... .. ... . |
|   133 | ....  ... ..  .. .... ... | 2965 (D#5 BF) .. .... ... | 29AF (+ 004A) .. .... ... | .... .. ... . |
|   134 | ....  ... ..  .. .... ... | 1F03 (A#4 BA) .. .... ... | 29F9 (+ 004A) .. .... ... | .... .. ... . |
|   135 | ....  ... ..  .. .... ... | 189D (F#4 B6) .. .... ... | 2A43 (+ 004A) .. .... ... | .... .. ... . |
|   136 | ....  ... ..  .. .... ... | 14B2 (D#4 B3) .. .... ... | 29F9 (- 004A) .. .... ... | .... .. ... . |
|   137 | ....  ... ..  .. .... ... | 2965 (D#5 BF) .. .... ... | 29AF (- 004A) .. .... ... | .... .. ... . |
