Load address: $AF80 Init address: $BFF8 Play address: $B000
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    72 | 0AF7  ... ..  01 00E5 ... | 0938 (C#3 A5) .. .... 200 | 063D (+ 000B) .. .... 960 | .... .. ... . |
|    73 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 0648 (+ 000B) .. .... 980 | EF00 .. ... . |
|    74 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 063D (- 000B) .. .... 9A0 | EE00 .. ... . |
|    75 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0632 (- 000B) .. .... 9C0 | ED00 .. ... . |
|    76 | 0100 (C-0 80) 40 .... ... | 0C4E (F#3 AA) .. .... 200 | 0627 (- 000B) .. .... 9E0 | EC00 .. ... . |
|    77 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 061C (- 000B) .. .... A00 | EB00 .. ... . |
|    78 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 0611 (- 000B) .. .... 9E0 | EA00 .. ... . |
|    79 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 061C (+ 000B) .. .... 9C0 | E900 .. ... . |
|    80 | 0AF7  ... ..  01 00D5 ... | 1270 (C#4 B1) .. .... 200 | 0627 (+ 000B) .. .... 9A0 | .... .. ... . |
|    81 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 0632 (+ 000B) .. .... 980 | EF00 .. ... . |
|    82 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 063D (+ 000B) .. .... 960 | EE00 .. ... . |
|    83 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0648 (+ 000B) .. .... 940 | ED00 .. ... . |
|    84 | 0100 (C-0 80) 40 .... ... | 189D (F#4 B6) .. .... 200 | 063D (- 000B) .. .... 920 | EC00 .. ... . |
|    85 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0632 (- 000B) .. .... 900 | EB00 .. ... . |
|    86 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 0627 (- 000B) .. .... 8E0 | EA00 .. ... . |
|    87 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 061C (- 000B) .. .... 8C0 | E900 .. ... . |
|    88 | 0AF7  ... ..  01 0095 ... | 24E1 (C#5 BD) .. .... 200 | 0611 (- 000B) .. .... 8A0 | .... .. ... . |
|    89 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 061C (+ 000B) .. .... 880 | EF00 .. ... . |
|    90 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 0627 (+ 000B) .. .... 860 | EE00 .. ... . |
|    91 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0632 (+ 000B) .. .... 840 | ED00 .. ... . |
|    92 | 0100 (C-0 80) 40 .... ... | 189D (F#4 B6) .. .... 200 | 063D (+ 000B) .. .... 820 | EC00 .. ... . |
|    93 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0648 (+ 000B) .. .... 800 | EB00 .. ... . |
|    94 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 063D (- 000B) .. .... 7E0 | EA00 .. ... . |
|    95 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 0632 (- 000B) .. .... 7C0 | E900 .. ... . |
|    96 | 0AF7  ... ..  01 0055 ... | 1270 (C#4 B1) .. .... 200 | 0627 (- 000B) .. .... 7A0 | .... .. ... . |
|    97 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 061C (- 000B) .. .... 780 | EF00 .. ... . |
|    98 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 0611 (- 000B) .. .... 760 | EE00 .. ... . |
|    99 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 061C (+ 000B) .. .... 740 | ED00 .. ... . |
|   100 | 0100 (C-0 80) 40 .... ... | 0C4E (F#3 AA) .. .... 200 | 0627 (+ 000B) .. .... 720 | EC00 .. ... . |
|   101 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0632 (+ 000B) .. .... 700 | EB00 .. ... . |
|   102 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 063D (+ 000B) .. .... 6E0 | EA00 .. ... . |
|   103 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 0648 (+ 000B) .. .... 6C0 | E900 .. ... . |
