Load address: $A200 Init address: $BFBD Play address: $BFC9
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   143 | ....  ... ..  .. .... ... | 1366 (+ 0023) .. .... ... | 1D11 (+ 0034) .. .... ... | .... .. ... . |
|   144 | ....  ... ..  .. .... ... | 1389 (+ 0023) .. .... ... | 173B  F-4 B5  51 .... 400 | .... .. ... . |
|   145 | ....  ... ..  .. .... ... | 13AC (+ 0023) .. .... ... | ....  ... ..  .. .... 410 | .... .. ... . |
|   146 | ....  ... ..  .. .... ... | 13CF (+ 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   147 | ....  ... ..  .. .... ... | 13AC (- 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   148 | ....  ... ..  .. .... ... | 1389 (- 0023) .. .... ... | ....  ... ..  50 .... ... | .... .. ... . |
|   149 | ....  ... ..  .. .... ... | 1366 (- 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   150 | ....  ... ..  .. .... ... | 1343 (- 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   151 | ....  ... ..  .. .... ... | 1366 (+ 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   152 | ....  ... ..  .. .... ... | 1389 (+ 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   153 | ....  ... ..  .. .... ... | 13AC (+ 0023) .. .... ... | 1764 (+ 0029) .. .... ... | .... .. ... . |
|   154 | ....  ... ..  .. .... ... | 13CF (+ 0023) .. .... ... | 178D (+ 0029) 40 .... ... | .... .. ... . |
|   155 | ....  ... ..  .. .... ... | 13AC (- 0023) .. .... ... | 1764 (- 0029) .. .... ... | .... .. ... . |
|   156 | ....  ... ..  .. .... ... | 1389 (- 0023) .. .... ... | 173B (- 0029) .. .... ... | .... .. ... . |
|   157 | ....  ... ..  .. .... ... | 1366 (- 0023) .. .... ... | 1712 (- 0029) .. .... ... | .... .. ... . |
|   158 | ....  ... ..  .. .... ... | 1343 (- 0023) .. .... ... | 16E9 (- 0029) .. .... ... | .... .. ... . |
|   159 | ....  ... ..  .. .... ... | 1366 (+ 0023) .. .... ... | 1712 (+ 0029) .. .... ... | .... .. ... . |
|   160 | ....  ... ..  .. .... ... | 1D45  A-4 B9  51 .... 400 | 173B (+ 0029) .. .... ... | .... .. ... . |
|   161 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 410 | 1764 (+ 0029) .. .... ... | .... .. ... . |
|   162 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 178D (+ 0029) .. .... ... | .... .. ... . |
|   163 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1764 (- 0029) .. .... ... | .... .. ... . |
|   164 | ....  ... ..  .. .... ... | ....  ... ..  50 .... ... | 173B (- 0029) .. .... ... | .... .. ... . |
|   165 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1712 (- 0029) .. .... ... | .... .. ... . |
|   166 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 16E9 (- 0029) .. .... ... | .... .. ... . |
|   167 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1712 (+ 0029) .. .... ... | .... .. ... . |
|   168 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 173B (+ 0029) .. .... ... | .... .. ... . |
|   169 | ....  ... ..  .. .... ... | 1D79 (+ 0034) .. .... ... | 1764 (+ 0029) .. .... ... | .... .. ... . |
|   170 | ....  ... ..  .. .... ... | 1DAD (+ 0034) 40 .... ... | 178D (+ 0029) .. .... ... | .... .. ... . |
|   171 | ....  ... ..  .. .... ... | 1D79 (- 0034) .. .... ... | 1764 (- 0029) .. .... ... | .... .. ... . |
|   172 | ....  ... ..  .. .... ... | 1D45 (- 0034) .. .... ... | 173B (- 0029) .. .... ... | .... .. ... . |
|   173 | ....  ... ..  .. .... ... | 1D11 (- 0034) .. .... ... | 1712 (- 0029) .. .... ... | .... .. ... . |
|   174 | ....  ... ..  .. .... ... | 1CDD (- 0034) .. .... ... | 16E9 (- 0029) .. .... ... | .... .. ... . |
|   175 | ....  ... ..  .. .... ... | 1D11 (+ 0034) .. .... ... | 1712 (+ 0029) .. .... ... | .... .. ... . |
|   176 | ....  ... ..  .. .... ... | 1D45 (+ 0034) .. .... ... | 173B  F-4 B5  51 .... 400 | .... .. ... . |
|   177 | ....  ... ..  .. .... ... | 1D79 (+ 0034) .. .... ... | ....  ... ..  .. .... 410 | .... .. ... . |
|   178 | ....  ... ..  .. .... ... | 1DAD (+ 0034) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   179 | ....  ... ..  .. .... ... | 1D79 (- 0034) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   180 | ....  ... ..  .. .... ... | 1D45 (- 0034) .. .... ... | ....  ... ..  50 .... ... | .... .. ... . |
|   181 | ....  ... ..  .. .... ... | 1D11 (- 0034) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   182 | ....  ... ..  .. .... ... | 1CDD (- 0034) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   183 | ....  ... ..  .. .... ... | 1D11 (+ 0034) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   184 | ....  ... ..  .. .... ... | 1D45 (+ 0034) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   185 | ....  ... ..  .. .... ... | 1D79 (+ 0034) .. .... ... | 1764 (+ 0029) .. .... ... | .... .. ... . |
|   186 | ....  ... ..  .. .... ... | 1DAD (+ 0034) .. .... ... | 178D (+ 0029) 40 .... ... | .... .. ... . |
|   187 | ....  ... ..  .. .... ... | 1D79 (- 0034) .. .... ... | 1764 (- 0029) .. .... ... | .... .. ... . |
|   188 | ....  ... ..  .. .... ... | 1D45 (- 0034) .. .... ... | 173B (- 0029) .. .... ... | .... .. ... . |
|   189 | ....  ... ..  .. .... ... | 1D11 (- 0034) .. .... ... | 1712 (- 0029) .. .... ... | .... .. ... . |
|   190 | ....  ... ..  .. .... ... | 1CDD (- 0034) .. .... ... | 16E9 (- 0029) .. .... ... | .... .. ... . |
|   191 | ....  ... ..  .. .... ... | 1D11 (+ 0034) .. .... ... | 1712 (+ 0029) .. .... ... | .... .. ... . |
|   192 | ....  ... ..  .. .... ... | 1A14  G-4 B7  51 .... 400 | 173B (+ 0029) .. .... ... | .... .. ... . |
|   193 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 410 | 1764 (+ 0029) .. .... ... | .... .. ... . |
|   194 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 178D (+ 0029) .. .... ... | .... .. ... . |
|   195 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1764 (- 0029) .. .... ... | .... .. ... . |
|   196 | ....  ... ..  .. .... ... | ....  ... ..  50 .... ... | 173B (- 0029) .. .... ... | .... .. ... . |
|   197 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1712 (- 0029) .. .... ... | .... .. ... . |
|   198 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 16E9 (- 0029) .. .... ... | .... .. ... . |
|   199 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1712 (+ 0029) .. .... ... | .... .. ... . |
|   200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 173B (+ 0029) .. .... ... | .... .. ... . |
