Load address: $8000 Init address: $8000 Play address: $8003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   146 | 22CF  C-5 BC  15 .... 099 | 0116  C-0 80  41 .... ... | 0116  C-0 80  41 .... ... | .... .. ... . |
|   147 | ....  ... ..  .. .... 1C2 | 4816 (C#6 C9) 81 .... ... | 4116 (B-5 C7) 81 .... ... | .... .. ... . |
|   148 | 2558 (C#5 BD) .. .... 2EB | 1016 (B-3 AF) 41 .... ... | 0916 (C#3 A5) 41 .... ... | .... .. ... . |
|   149 | 27E1 (D-5 BE) 14 .... 414 | 0E16 (G#3 AC) 40 .... ... | 0716 (G#2 A0) 40 .... ... | .... .. ... . |
|   150 | 2A6A (D#5 BF) .. .... 53D | 0C16 (F#3 AA) .. .... ... | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   151 | 27E1 (D-5 BE) .. .... 666 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   152 | 2558 (C#5 BD) .. .... 78F | 4816 (C#6 C9) 80 .... ... | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|   153 | 22CF (C-5 BC) .. .... 8B8 | 1016 (B-3 AF) 40 .... ... | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|   154 | 203B (B-4 BB) .. .... 9E1 | 0E16 (G#3 AC) .. .... ... | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|   155 | 1DA7 (A-4 B9) .. .... B0A | 0C16 (F#3 AA) .. .... ... | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   156 | 1B13 (G#4 B8) .. .... B13 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   157 | 1DA7 (A-4 B9) .. .... B1C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   158 | 203B (B-4 BB) .. .... B25 | F09D  A-7 DD  81 080A 848 | 0116  C-0 80  41 .... ... | .... .. ... . |
|   159 | 22CF (C-5 BC) .. .... B2E | 313A (F#5 C2) 41 .... 8D8 | 4116 (B-5 C7) 81 .... ... | .... .. ... . |
|   160 | 256E (C#5 BD) .. .... B37 | 24E1 (C#5 BD) .. .... 968 | 0916 (C#3 A5) 41 .... ... | .... .. ... . |
|   161 | 280D (D-5 BE) .. .... B40 | 1F03 (A#4 BA) 40 .... 9F8 | 0716 (G#2 A0) 40 .... ... | .... .. ... . |
|   162 | 2AAC (E-5 C0) .. .... B49 | 189D (F#4 B6) .. .... A88 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   163 | 280D (D-5 BE) .. .... B52 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   164 | 256E (C#5 BD) .. .... B5B | F09D  A-7 DD  81 .... 848 | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|   165 | 22CF (C-5 BC) .. .... C84 | 313A (F#5 C2) 41 .... 8D8 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|   166 | 2025 (B-4 BB) .. .... DAD | 24E1 (C#5 BD) .. .... 968 | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|   167 | 1D7B (A-4 B9) .. .... ED6 | 1F03 (A#4 BA) 40 .... 9F8 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   168 | 1AD1 (G-4 B7) .. .... FFF | 189D (F#4 B6) .. .... A88 | ....  ... ..  .. .... ... | .... .. ... . |
|   169 | ....  ... ..  .. .... ... | 313A (F#5 C2) .. .... B18 | ....  ... ..  .. .... ... | .... .. ... . |
|   170 | 1167  C-4 B0  15 .... 099 | 24E1 (C#5 BD) .. .... BA8 | 0116  C-0 80  41 .... ... | .... .. ... . |
|   171 | ....  ... ..  .. .... 1C2 | 1F03 (A#4 BA) .. .... C38 | 4116 (B-5 C7) 81 .... ... | .... .. ... . |
|   172 | 136B (D-4 B2) .. .... 2EB | 189D (F#4 B6) .. .... CC8 | 0916 (C#3 A5) 41 .... ... | .... .. ... . |
|   173 | 156F (E-4 B4) 14 .... 414 | 313A (F#5 C2) .. .... D58 | 0716 (G#2 A0) 40 .... ... | .... .. ... . |
|   174 | 1773 (F-4 B5) .. .... 53D | 24E1 (C#5 BD) .. .... CC8 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   175 | 156F (E-4 B4) .. .... 666 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   176 | 136B (D-4 B2) .. .... 78F | F09D  A-7 DD  81 .... 848 | 0116  C-0 80  41 .... ... | .... .. ... . |
|   177 | 1167 (C-4 B0) .. .... 8B8 | 313A (F#5 C2) 41 .... 8D8 | 4116 (B-5 C7) 81 .... ... | .... .. ... . |
|   178 | 0F58 (A#3 AE) .. .... 9E1 | 24E1 (C#5 BD) .. .... 968 | 0916 (C#3 A5) 41 .... ... | .... .. ... . |
|   179 | 0D49 (G-3 AB) .. .... B0A | 1F03 (A#4 BA) 40 .... 9F8 | 0716 (G#2 A0) 40 .... ... | .... .. ... . |
|   180 | 0B3A (E-3 A8) .. .... B13 | 189D (F#4 B6) .. .... A88 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   181 | 0D49 (G-3 AB) .. .... B1C | 313A (F#5 C2) .. .... B18 | ....  ... ..  .. .... ... | .... .. ... . |
|   182 | 0F58 (A#3 AE) .. .... B25 | 24E1 (C#5 BD) .. .... BA8 | 0116  C-0 80  41 .... ... | .... .. ... . |
|   183 | 1167 (C-4 B0) .. .... B2E | 1F03 (A#4 BA) .. .... C38 | 4116 (B-5 C7) 81 .... ... | .... .. ... . |
