Load address: $A000 Init address: $C000 Play address: $C020
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    82 | 0D8C (G#3 AC) .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    83 | 0B8D (F-3 A9) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    84 | 098E (D-3 A6) .. .... ... | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    85 | 1389 (D-4 B2) .. .... ... | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    86 | 118A (C-4 B0) .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    87 | 0F8B (A#3 AE) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    88 | 0D8C (G#3 AC) .. .... ... | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    89 | 0B8D (F-3 A9) .. .... ... | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    90 | 098E (D-3 A6) .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    91 | 1389 (D-4 B2) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    92 | 118A (C-4 B0) .. .... ... | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    93 | 0F8B (A#3 AE) .. .... ... | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    94 | 0D8C (G#3 AC) .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    95 | 0B8D (F-3 A9) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    96 | 098E (D-3 A6) .. .... ... | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    97 | 078F (A#2 A2) .. .... ... | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    98 | 0590 (E-2 9C) .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    99 | 0391 (A-1 95) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|   100 | 0192 (F#0 86) .. .... ... | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|   101 | 0002 (C-0 80) .. .... ... | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|   102 | ....  ... ..  .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|   103 | 1167 (C-4 B0) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|   104 | 0F68 (A#3 AE) .. .... ... | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|   105 | 0D69 (G-3 AB) .. .... ... | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|   106 | 0B6A (F-3 A9) .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|   107 | 096B (C#3 A5) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|   108 | 076C (A-2 A1) .. .... ... | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|   109 | 1167 (C-4 B0) .. .... ... | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|   110 | 0F68 (A#3 AE) .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|   111 | 0D69 (G-3 AB) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|   112 | 0B6A (F-3 A9) .. .... ... | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|   113 | 096B (C#3 A5) .. .... ... | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|   114 | 076C (A-2 A1) .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|   115 | 1167 (C-4 B0) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|   116 | 0F68 (A#3 AE) .. .... ... | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|   117 | 0D69 (G-3 AB) .. .... ... | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|   118 | 0B6A (F-3 A9) .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|   119 | 096B (C#3 A5) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|   120 | 076C (A-2 A1) .. .... ... | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|   121 | 1167 (C-4 B0) .. .... ... | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|   122 | 0F68 (A#3 AE) .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|   123 | 0D69 (G-3 AB) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|   124 | 0B6A (F-3 A9) .. .... ... | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|   125 | 096B (C#3 A5) .. .... ... | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|   126 | 076C (A-2 A1) .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|   127 | 1167 (C-4 B0) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
