Load address: $8000 Init address: $8000 Play address: $8003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   109 | 173B  F-4 B5  41 .... 484 | 230D (- 003E) .. .... 848 | 22CF  C-5 BC  21 450D 848 | .... .. ... . |
|   110 | 2E76 (F-5 C1) .. .... 514 | 22CF (- 003E) .. .... 888 | ....  ... ..  .. .... 888 | .... .. ... . |
|   111 | 22CF (C-5 BC) .. .... 5A4 | 2286 (- 0049) .. .... 8C8 | 22F7 (+ 0028) .. .... 8C8 | .... .. ... . |
|   112 | 1BA0 (G#4 B8) 40 .... 634 | 223D (- 0049) .. .... 908 | 231F (+ 0028) 20 .... 908 | .... .. ... . |
|   113 | 173B (F-4 B5) .. .... 6C4 | 2286 (+ 0049) .. .... 948 | 22F7 (- 0028) .. .... 948 | .... .. ... . |
|   114 | ....  ... ..  .. .... ... | 22CF (+ 0049) .. .... 988 | 22CF (- 0028) .. .... 988 | .... .. ... . |
|   115 | 173B  F-4 B5  41 .... 484 | 2323 (+ 0054) .. .... 9C8 | 229C (- 0033) .. .... 9C8 | .... .. ... . |
|   116 | 2E76 (F-5 C1) .. .... 514 | 2377 (+ 0054) .. .... 988 | 2269 (- 0033) .. .... 988 | .... .. ... . |
|   117 | 22CF (C-5 BC) .. .... 5A4 | 2323 (- 0054) .. .... 948 | 229C (+ 0033) .. .... 948 | .... .. ... . |
|   118 | 1BA0 (G#4 B8) 40 .... 634 | 22CF (- 0054) .. .... 908 | 22CF (+ 0033) .. .... 908 | .... .. ... . |
|   119 | 173B (F-4 B5) .. .... 6C4 | 2270 (- 005F) .. .... 8C8 | 230D (+ 003E) .. .... 8C8 | .... .. ... . |
|   120 | ....  ... ..  .. .... ... | 2211 (- 005F) .. .... 888 | 234B (+ 003E) .. .... 888 | .... .. ... . |
|   121 | 0116  ... ..  00 0000 000 | 2270 (+ 005F) .. .... 848 | 230D (- 003E) .. .... 848 | .... .. ... . |
|   122 | ....  ... ..  .. .... ... | 22CF (+ 005F) .. .... 888 | 22CF (- 003E) .. .... 888 | .... .. ... . |
|   123 | ....  ... ..  .. .... ... | 2339 (+ 006A) .. .... 8C8 | 2286 (- 0049) .. .... 8C8 | .... .. ... . |
|   124 | ....  ... ..  .. .... ... | 23A3 (+ 006A) .. .... 908 | 223D (- 0049) .. .... 908 | .... .. ... . |
|   125 | ....  ... ..  .. .... ... | 2339 (- 006A) .. .... 948 | 2286 (+ 0049) .. .... 948 | .... .. ... . |
|   126 | ....  ... ..  .. .... ... | 22CF (- 006A) .. .... 988 | 22CF (+ 0049) .. .... 988 | .... .. ... . |
|   127 | ....  ... ..  .. .... ... | 225A (- 0075) .. .... 9C8 | 2323 (+ 0054) .. .... 9C8 | .... .. ... . |
|   128 | ....  ... ..  .. .... ... | 21E5 (- 0075) .. .... 988 | 2377 (+ 0054) .. .... 988 | .... .. ... . |
|   129 | ....  ... ..  .. .... ... | 225A (+ 0075) .. .... 948 | 2323 (- 0054) .. .... 948 | .... .. ... . |
|   130 | ....  ... ..  .. .... ... | 22CF (+ 0075) .. .... 908 | 22CF (- 0054) .. .... 908 | .... .. ... . |
|   131 | ....  ... ..  .. .... ... | 234F (+ 0080) .. .... 8C8 | 2270 (- 005F) .. .... 8C8 | .... .. ... . |
|   132 | ....  ... ..  .. .... ... | 23CF (+ 0080) .. .... 888 | 2211 (- 005F) .. .... 888 | .... .. ... . |
|   133 | 173B  F-4 B5  41 0F06 484 | 234F (- 0080) .. .... 848 | 2270 (+ 005F) .. .... 848 | .... .. ... . |
|   134 | 2E76 (F-5 C1) .. .... 514 | 22CF (- 0080) .. .... 888 | 22CF (+ 005F) .. .... 888 | .... .. ... . |
|   135 | 22CF (C-5 BC) .. .... 5A4 | 2244 (- 008B) .. .... 8C8 | 2339 (+ 006A) .. .... 8C8 | .... .. ... . |
|   136 | 1BA0 (G#4 B8) 40 .... 634 | 21B9 (B-4 BB) .. .... 908 | 23A3 (+ 006A) .. .... 908 | .... .. ... . |
|   137 | 173B (F-4 B5) .. .... 6C4 | 2244 (C-5 BC) .. .... 948 | 2339 (- 006A) .. .... 948 | .... .. ... . |
|   138 | 2E76 (F-5 C1) .. .... 754 | 22CF (+ 008B) .. .... 988 | 22CF (- 006A) .. .... 988 | .... .. ... . |
|   139 | 22CF (C-5 BC) .. .... 7E4 | 2365 (+ 0096) .. .... 9C8 | 225A (- 0075) .. .... 9C8 | .... .. ... . |
|   140 | 1BA0 (G#4 B8) .. .... 874 | 23FB (C#5 BD) .. .... 988 | 21E5 (- 0075) .. .... 988 | .... .. ... . |
|   141 | 173B (F-4 B5) .. .... 904 | 2365 (C-5 BC) .. .... 948 | 225A (+ 0075) .. .... 948 | .... .. ... . |
|   142 | 2E76 (F-5 C1) .. .... 994 | 22CF (- 0096) .. .... 908 | 22CF (+ 0075) .. .... 908 | .... .. ... . |
|   143 | 22CF (C-5 BC) .. .... 904 | 222E (- 00A1) .. .... 8C8 | 234F (+ 0080) .. .... 8C8 | .... .. ... . |
|   144 | ....  ... ..  .. .... ... | 218D (B-4 BB) .. .... 888 | 23CF (+ 0080) .. .... 888 | .... .. ... . |
|   145 | 173B  F-4 B5  41 .... 484 | 222E (C-5 BC) .. .... 848 | 234F (- 0080) .. .... 848 | .... .. ... . |
|   146 | 2E76 (F-5 C1) .. .... 514 | 22CF (+ 00A1) .. .... 888 | 22CF (- 0080) .. .... 888 | .... .. ... . |
|   147 | 22CF (C-5 BC) .. .... 5A4 | 237B (+ 00AC) .. .... 8C8 | 2244 (- 008B) .. .... 8C8 | .... .. ... . |
|   148 | 1BA0 (G#4 B8) 40 .... 634 | 2427 (C#5 BD) .. .... 908 | 21B9 (B-4 BB) .. .... 908 | .... .. ... . |
|   149 | 173B (F-4 B5) .. .... 6C4 | 237B (C-5 BC) .. .... 948 | 2244 (C-5 BC) .. .... 948 | .... .. ... . |
|   150 | ....  ... ..  .. .... ... | 22CF (- 00AC) .. .... 988 | 22CF (+ 008B) .. .... 988 | .... .. ... . |
|   151 | 173B  F-4 B5  41 .... 484 | 2218 (- 00B7) .. .... 9C8 | 2365 (+ 0096) .. .... 9C8 | .... .. ... . |
|   152 | 2E76 (F-5 C1) .. .... 514 | 2161 (B-4 BB) .. .... 988 | 23FB (C#5 BD) .. .... 988 | .... .. ... . |
|   153 | 22CF (C-5 BC) .. .... 5A4 | 2218 (C-5 BC) .. .... 948 | 2365 (C-5 BC) .. .... 948 | .... .. ... . |
|   154 | 1BA0 (G#4 B8) 40 .... 634 | 22CF (+ 00B7) .. .... 908 | 22CF (- 0096) .. .... 908 | .... .. ... . |
|   155 | 173B (F-4 B5) .. .... 6C4 | 2391 (+ 00C2) .. .... 8C8 | 222E (- 00A1) .. .... 8C8 | .... .. ... . |
|   156 | ....  ... ..  .. .... ... | 2453 (C#5 BD) .. .... 888 | 218D (B-4 BB) .. .... 888 | .... .. ... . |
|   157 | 173B  F-4 B5  41 .... 484 | 2391 (C-5 BC) .. .... 848 | 222E (C-5 BC) .. .... 848 | .... .. ... . |
|   158 | 2E76 (F-5 C1) .. .... 514 | 22CF (- 00C2) .. .... 888 | 22CF (+ 00A1) .. .... 888 | .... .. ... . |
|   159 | 22CF (C-5 BC) .. .... 5A4 | 2202 (- 00CD) .. .... 8C8 | 237B (+ 00AC) .. .... 8C8 | .... .. ... . |
|   160 | 1BA0 (G#4 B8) 40 .... 634 | 2135 (B-4 BB) .. .... 908 | 2427 (C#5 BD) .. .... 908 | .... .. ... . |
|   161 | 173B (F-4 B5) .. .... 6C4 | 2202 (C-5 BC) .. .... 948 | 237B (C-5 BC) .. .... 948 | .... .. ... . |
|   162 | 2E76 (F-5 C1) .. .... 754 | 22CF (+ 00CD) .. .... 988 | 22CF (- 00AC) .. .... 988 | .... .. ... . |
|   163 | 22CF (C-5 BC) .. .... 7E4 | 23A7 (+ 00D8) .. .... 9C8 | 2218 (- 00B7) .. .... 9C8 | .... .. ... . |
|   164 | 1BA0 (G#4 B8) .. .... 874 | 247F (C#5 BD) .. .... 988 | 2161 (B-4 BB) .. .... 988 | .... .. ... . |
|   165 | 173B (F-4 B5) .. .... 904 | 23A7 (C-5 BC) .. .... 948 | 2218 (C-5 BC) .. .... 948 | .... .. ... . |
