Load address: $A000 Init address: $C000 Play address: $C020
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    97 | 29E5 (+ 0040) .. .... 700 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    98 | 2A25 (+ 0040) .. .... 6E0 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    99 | 29E5 (- 0040) .. .... 6C0 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|   100 | 29A5 (- 0040) .. .... 6A0 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|   101 | 2965 (- 0040) .. .... 680 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|   102 | 2925 (- 0040) .. .... 660 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|   103 | 28E5 (- 0040) .. .... 640 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|   104 | 2925 (+ 0040) .. .... 620 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|   105 | 2965 (+ 0040) .. .... 600 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|   106 | 29A5 (+ 0040) .. .... 5E0 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|   107 | 29E5 (+ 0040) .. .... 5C0 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|   108 | 2A25 (+ 0040) .. .... 5A0 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|   109 | 29E5 (- 0040) .. .... 580 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|   110 | 29A5 (- 0040) .. .... 560 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|   111 | 2965 (- 0040) .. .... 540 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|   112 | 2925 (- 0040) .. .... 520 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|   113 | 28E5 (- 0040) .. .... 500 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|   114 | 2925 (+ 0040) .. .... 4E0 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|   115 | 2965 (+ 0040) .. .... 4C0 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
