Load address: $A000 Init address: $C000 Play address: $C020
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    55 | 0AF7  E-3 A8  41 .... ... | 078F (A#2 A2) .. .... ... | 22CF (C-5 BC) .. .... B40 | .... .. ... . |
|    56 | ....  ... ..  .. .... ... | 0590 (E-2 9C) .. .... ... | 1D45 (A-4 B9) .. .... B70 | .... .. ... . |
|    57 | ....  ... ..  .. .... ... | 0391 (A-1 95) .. .... ... | 173B (F-4 B5) .. .... BA0 | .... .. ... . |
|    58 | ....  ... ..  80 .... ... | 0192 (F#0 86) .. .... ... | 2E76 (F-5 C1) .. .... BD0 | .... .. ... . |
|    59 | D4C8 (G-7 DB) .. .... ... | 0002 (C-0 80) .. .... ... | 22CF (C-5 BC) .. .... C00 | .... .. ... . |
|    60 | D40D (- 00BB) .. .... ... | ....  ... ..  .. .... ... | 1D45 (A-4 B9) .. .... C30 | .... .. ... . |
|    61 | D4C8 (+ 00BB) .. .... ... | 1167 (C-4 B0) .. .... ... | 173B (F-4 B5) .. .... C60 | .... .. ... . |
|    62 | D40D (- 00BB) .. .... ... | 0F68 (A#3 AE) .. .... ... | 2E76 (F-5 C1) .. .... C90 | .... .. ... . |
|    63 | 0AF7 (E-3 A8) .. .... ... | 0D69 (G-3 AB) .. .... ... | 22CF (C-5 BC) .. .... CC0 | .... .. ... . |
|    64 | ....  ... ..  .. .... ... | 0B6A (F-3 A9) .. .... ... | 1D45 (A-4 B9) .. .... CF0 | .... .. ... . |
|    65 | ....  ... ..  .. .... ... | 096B (C#3 A5) .. .... ... | 173B (F-4 B5) .. .... D20 | .... .. ... . |
|    66 | ....  ... ..  .. .... ... | 076C (A-2 A1) .. .... ... | 2E76 (F-5 C1) .. .... D50 | .... .. ... . |
|    67 | D4C8 (G-7 DB) .. .... ... | 1167 (C-4 B0) .. .... ... | ....  ... ..  .. .... 900 | .... .. ... . |
|    68 | D40D (- 00BB) .. .... ... | 0F68 (A#3 AE) .. .... ... | 22CF (C-5 BC) .. .... 930 | .... .. ... . |
|    69 | D4C8 (+ 00BB) .. .... ... | 0D69 (G-3 AB) .. .... ... | 1D45 (A-4 B9) .. .... 960 | .... .. ... . |
|    70 | D40D (- 00BB) .. .... ... | 0B6A (F-3 A9) .. .... ... | 173B (F-4 B5) .. .... 990 | .... .. ... . |
|    71 | 0AF7 (E-3 A8) .. .... ... | 096B (C#3 A5) .. .... ... | 2E76 (F-5 C1) .. .... 9C0 | .... .. ... . |
|    72 | ....  ... ..  .. .... ... | 076C (A-2 A1) .. .... ... | 22CF (C-5 BC) .. .... 9F0 | .... .. ... . |
|    73 | ....  ... ..  .. .... ... | 056D (E-2 9C) .. .... ... | 1D45 (A-4 B9) .. .... A20 | .... .. ... . |
|    74 | ....  ... ..  .. .... ... | 036E (G#1 94) .. .... ... | 173B (F-4 B5) .. .... A50 | .... .. ... . |
|    75 | D4C8 (G-7 DB) .. .... ... | 016F (F-0 85) .. .... ... | 2E76 (F-5 C1) .. .... A80 | .... .. ... . |
|    76 | D40D (- 00BB) .. .... ... | 0002 (C-0 80) .. .... ... | 22CF (C-5 BC) .. .... AB0 | .... .. ... . |
|    77 | D4C8 (+ 00BB) .. .... ... | ....  ... ..  .. .... ... | 1D45 (A-4 B9) .. .... AE0 | .... .. ... . |
|    78 | D40D (- 00BB) .. .... ... | ....  ... ..  .. .... ... | 173B (F-4 B5) .. .... B10 | .... .. ... . |
|    79 | 0AF7  E-3 A8  41 .... ... | ....  ... ..  .. .... ... | 22CF (C-5 BC) .. .... B40 | .... .. ... . |
|    80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1D45 (A-4 B9) .. .... B70 | .... .. ... . |
|    81 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 173B (F-4 B5) .. .... BA0 | .... .. ... . |
|    82 | ....  ... ..  80 .... ... | ....  ... ..  .. .... ... | 2E76 (F-5 C1) .. .... BD0 | .... .. ... . |
